"div","yr","pdsi","mon"
5,2001,1.74,3
5,2002,-3.46,3
5,2003,-1.94,3
5,2004,-3.11,3
5,2005,6.16,3
5,2006,-2.3,3
5,2007,-3.22,3
5,2008,-1.83,3
5,2009,-1.74,3
5,2010,2.91,3
5,2011,-1.92,3
5,2012,-2.31,3
5,2013,-0.95,3
5,2014,-2.66,3
5,2015,-1.93,3
5,2016,-2.74,3
5,2017,-0.2,3
5,2018,-3.54,3
5,2019,1.9,3
5,2020,2.42,3
6,1985,3.63,3
6,1986,-0.37,3
6,1987,-0.13,3
6,1988,-0.91,3
6,1989,-1.33,3
6,1990,-2.67,3
6,1991,2.33,3
6,1992,2.99,3
6,1993,7.05,3
6,1994,-0.62,3
6,1995,1.72,3
6,1996,-2.98,3
6,1997,-3.3,3
6,1998,2.85,3
6,1999,-2.62,3
6,2000,-2.5,3
6,2001,1.56,3
6,2002,-3.65,3
6,2003,-2.33,3
6,2004,-2.84,3
6,2005,3.26,3
6,2006,-2.84,3
6,2007,-2.97,3
6,2008,0.73,3
6,2009,-1.9,3
6,2010,1.78,3
6,2011,-2.35,3
6,2012,-3.46,3
6,2013,-2.34,3
6,2014,-2.98,3
6,2015,-1.86,3
6,2016,-2.44,3
6,2017,-2.17,3
6,2018,-4.55,3
6,2019,-0.04,3
6,2020,2.24,3
7,1985,5.42,3
7,1986,3.22,3
7,1987,1.74,3
7,1988,-0.57,3
7,1989,-1.58,3
7,1990,-2.92,3
7,1991,3.11,3
7,1992,3.81,3
7,1993,6.52,3
7,1994,-0.85,3
7,1995,2.88,3
7,1996,-3.25,3
7,1997,-2.32,3
7,1998,2.89,3
7,1999,-3.45,3
7,2000,-3.59,3
7,2001,2.41,3
7,2002,-2.97,3
7,2003,-2.81,3
7,2004,-2.61,3
7,2005,1.63,3
7,2006,-3.65,3
7,2007,-1.99,3
7,2008,-1.89,3
7,2009,-2.39,3
7,2010,1.83,3
7,2011,-3.25,3
7,2012,-3.19,3
7,2013,-3.07,3
7,2014,-3.57,3
7,2015,-1.04,3
7,2016,-1.82,3
7,2017,-1.96,3
7,2018,-4.12,3
7,2019,1.74,3
7,2020,2.51,3
1,1985,2.81,4
1,1986,-0.92,4
1,1987,-0.86,4
1,1988,1.89,4
1,1989,-2.91,4
1,1990,-3.27,4
1,1991,1.08,4
1,1992,2.51,4
1,1993,5.57,4
1,1994,-1.65,4
1,1995,2.62,4
1,1996,-4.12,4
1,1997,-3.95,4
1,1998,2.12,4
1,1999,-1.8,4
1,2000,-3.75,4
1,2001,-1.31,4
1,2002,-4.8,4
1,2003,-2.17,4
1,2004,-2.41,4
1,2005,6.21,4
1,2006,-2.22,4
1,2007,-4.94,4
1,2008,-2.6,4
1,2009,-1.97,4
1,2010,1.92,4
1,2011,0.07,4
1,2012,-2.15,4
1,2013,-2.68,4
1,2014,-3.98,4
1,2015,-2.58,4
1,2016,-2,4
1,2017,0.83,4
1,2018,-3.57,4
1,2019,2.19,4
1,2020,2.74,4
3,1985,2.5,4
3,1986,1.42,4
3,1987,-0.42,4
3,1988,2.03,4
3,1989,-2.83,4
3,1990,-2.86,4
3,1991,1.63,4
3,1992,2.05,4
3,1993,5.71,4
3,1994,-1.23,4
3,1995,2.12,4
3,1996,-4.03,4
3,1997,-3.3,4
3,1998,2.15,4
3,1999,-1.9,4
3,2000,-2.8,4
3,2001,1.48,4
3,2002,-4.19,4
3,2003,-2.8,4
3,2004,-2.64,4
3,2005,5.36,4
3,2006,-3.22,4
3,2007,-4.54,4
3,2008,-2.32,4
3,2009,-1.59,4
3,2010,1.66,4
3,2011,-1.33,4
3,2012,-2.97,4
3,2013,-2.94,4
3,2014,-3.51,4
3,2015,-1.61,4
3,2016,-2.51,4
3,2017,0.69,4
3,2018,-4.56,4
3,2019,1.23,4
3,2020,2,4
5,1985,3.36,4
5,1986,-1.81,4
5,1987,-1.62,4
5,1988,0.65,4
5,1989,-2.45,4
5,1990,-3.04,4
5,1991,1.18,4
5,1992,4.73,4
5,1993,9.32,4
5,1994,-1.64,4
5,1995,1.57,4
5,1996,-4.27,4
5,1997,-4.25,4
5,1998,4.13,4
5,1999,0.77,4
5,2000,-3.43,4
5,2001,-0.29,4
5,2002,-3.73,4
5,2003,-2.09,4
5,2004,-2.86,4
5,2005,6.83,4
5,2006,-2.55,4
5,2007,-3.39,4
5,2008,-2.22,4
5,2009,-1.92,4
5,2010,2.97,4
5,2011,-1.98,4
5,2012,-2.48,4
5,2013,-1.49,4
5,2014,-2.97,4
5,2015,-2.15,4
5,2016,-2.43,4
5,2017,-0.59,4
5,2018,-3.9,4
5,2019,-0.47,4
5,2020,2.87,4
6,1985,3.69,4
6,1986,-0.75,4
6,1987,-0.35,4
6,1988,-0.28,4
6,1989,-2.2,4
6,1990,-2.95,4
6,1991,2.39,4
6,1992,3.71,4
6,1993,7.16,4
6,1994,-0.87,4
6,1995,1.9,4
6,1996,-3.5,4
6,1997,-3.38,4
6,1998,3.31,4
6,1999,-1.91,4
6,2000,-2.86,4
6,2001,1.84,4
6,2002,-4.12,4
6,2003,-2.09,4
6,2004,-2.62,4
6,2005,3.64,4
6,2006,-3.02,4
6,2007,-3.29,4
6,2008,0.53,4
6,2009,-2.19,4
6,2010,1.88,4
6,2011,-2.66,4
