"plot","yr.m","ppt","yr","mon","season"
"AM","1989-07",33.09,1989,7,1989
"AM","1989-08",42.21,1989,8,1990
"AM","1989-09",0.9,1989,9,1990
"AM","1989-10",19.46,1989,10,1990
"AM","1989-11",0,1989,11,1990
"AM","1989-12",18.41,1989,12,1990
"AM","1990-01",41.38,1990,1,1990
"AM","1990-02",37.55,1990,2,1990
"AM","1990-03",27.07,1990,3,1990
"AM","1990-04",32.86,1990,4,1990
"AM","1990-05",8.18,1990,5,1990
"AM","1990-06",8.71,1990,6,1990
"AM","1990-07",89.56,1990,7,1990
"AM","1990-08",48.59,1990,8,1991
"AM","1990-09",63.45,1990,9,1991
"AM","1990-10",10.6,1990,10,1991
"AM","1990-11",13.61,1990,11,1991
"AM","1990-12",3.72,1990,12,1991
"AM","1991-01",31.18,1991,1,1991
"AM","1991-02",27.39,1991,2,1991
"AM","1991-03",152.13,1991,3,1991
"AM","1991-04",0,1991,4,1991
"AM","1991-05",0,1991,5,1991
"AM","1991-06",2.85,1991,6,1991
"AM","1991-07",15.83,1991,7,1991
"AM","1991-08",30.47,1991,8,1992
"AM","1991-09",25.98,1991,9,1992
"AM","1991-10",12.48,1991,10,1992
"AM","1991-11",37.98,1991,11,1992
"AM","1991-12",34.38,1991,12,1992
"AM","1992-01",56.54,1992,1,1992
"AM","1992-02",83.02,1992,2,1992
"AM","1992-03",90.4,1992,3,1992
"AM","1992-04",8.44,1992,4,1992
"AM","1992-05",37.89,1992,5,1992
"AM","1992-06",1.48,1992,6,1992
"AM","1992-07",16.62,1992,7,1992
"AM","1992-08",118.86,1992,8,1993
"AM","1992-09",1.9,1992,9,1993
"AM","1992-10",17.41,1992,10,1993
"AM","1992-11",0,1992,11,1993
"AM","1992-12",107.57,1992,12,1993
"AM","1993-01",179.05,1993,1,1993
"AM","1993-02",156.69,1993,2,1993
"AM","1993-03",34.55,1993,3,1993
"AM","1993-04",0,1993,4,1993
"AM","1993-05",42.51,1993,5,1993
"AM","1993-06",1.02,1993,6,1993
"AM","1993-07",0,1993,7,1993
"AM","1993-08",49.14,1993,8,1994
"AM","1993-09",0,1993,9,1994
"AM","1993-10",20.65,1993,10,1994
"AM","1993-11",30.56,1993,11,1994
"AM","1993-12",8.45,1993,12,1994
"AM","1994-01",5.93,1994,1,1994
"AM","1994-02",36.01,1994,2,1994
"AM","1994-03",31.37,1994,3,1994
"AM","1994-04",23.9,1994,4,1994
"AM","1994-05",12.24,1994,5,1994
"AM","1994-06",1.88,1994,6,1994
"AM","1994-07",14.06,1994,7,1994
"AM","1994-08",24.72,1994,8,1995
"AM","1994-09",26.57,1994,9,1995
"AM","1994-10",13.93,1994,10,1995
"AM","1994-11",15.27,1994,11,1995
"AM","1994-12",68.53,1994,12,1995
"AM","1995-01",97.65,1995,1,1995
"AM","1995-02",70.2,1995,2,1995
"AM","1995-03",58.94,1995,3,1995
"AM","1995-04",23.04,1995,4,1995
"AM","1995-05",8.39,1995,5,1995
"AM","1995-06",3.52,1995,6,1995
"AM","1995-07",9,1995,7,1995
"AM","1995-08",29.29,1995,8,1996
"AM","1995-09",17.44,1995,9,1996
"AM","1995-10",0,1995,10,1996
"AM","1995-11",6.48,1995,11,1996
"AM","1995-12",4.32,1995,12,1996
"AM","1996-01",3.44,1996,1,1996
"AM","1996-02",31.2,1996,2,1996
"AM","1996-03",20.48,1996,3,1996
"AM","1996-04",0,1996,4,1996
"AM","1996-05",4.51,1996,5,1996
"AM","1996-06",0,1996,6,1996
"AM","1996-07",18.23,1996,7,1996
"AM","1996-08",46.21,1996,8,1997
"AM","1996-09",23.63,1996,9,1997
"AM","1996-10",3.13,1996,10,1997
"AM","1996-11",14.33,1996,11,1997
"AM","1996-12",6.59,1996,12,1997
"AM","1997-01",77.68,1997,1,1997
"AM","1997-02",34.38,1997,2,1997
"AM","1997-03",0,1997,3,1997
"AM","1997-04",27.14,1997,4,1997
"AM","1997-05",0.03,1997,5,1997
"AM","1997-06",1.03,1997,6,1997
"AM","1997-07",5.39,1997,7,1997
"AM","1997-08",44.25,1997,8,1998
